coverage_id,discovery_row_id,discovery_status,scope_decision,device_type_name,device_type_id,related_device_type,relation_type,relationship_origin,endpoint_requirement,cluster_name,cluster_id,server_client_role,requirement,feature_condition,specification_path,specification_revision,device_type_definition_path,device_type_revision,sdk_definition_path,sdk_revision,documentation_path,documentation_kind,implementation_path,implementation_scope,implementation_revision,idl_path,idl_scope,example_device_server_endpoints,evidence_location,status,relation_status,specification_status,sdk_status,implementation_status,documentation_status,idl_status,revision_comparison,documentation_search_scope,resolution,commit_sha,data_model_version,notes,example_cluster_revision,example_device_revision,example_implementation_path,example_implementation_scope
C011,D011,unverified,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,On/Off,0x0006,server,required,"mandatoryConform; features(feature(code=DF,mandatoryConform))",data_model/1.7/clusters/OnOff.xml,7,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/onoff-cluster.xml,7,unverified,unverified,src/app/clusters/on-off-server/OnOffCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":83},{""path"":""data_model/1.7/clusters/OnOff.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/onoff-cluster.xml"",""selector"":""/configurator/cluster[code=0x0006]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/on-off-server/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.,7,5,not_applicable,not_applicable
C012,D012,unverified,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Scenes Management,0x0062,server,optional,optionalConform,data_model/1.7/clusters/Scenes.xml,2,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/scene.xml,2,unverified,unverified,src/app/clusters/scenes-server/ScenesManagementCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":91},{""path"":""data_model/1.7/clusters/Scenes.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/scene.xml"",""selector"":""/configurator/cluster[code=0x0062]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/scenes-server/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.,2,not_applicable,not_applicable,not_applicable
C013,D013,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Thermostat Mode,0x0063,server,conditional/provisional,"otherwiseConform(provisionalConform,optionalConform(greaterOrEqualTerm(revision(value=current),revision(value=5)))); attributes(attribute(code=0x0002,name=StartUpMode,otherwiseConform(provisionalConform,disallowConform)),attribute(code=0x0000,name=SupportedModes,otherwiseConform(provisionalConform,mandatoryConform),constraint(desc)))",data_model/1.7/clusters/Mode_Thermostat.xml,1,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/thermostat-mode-cluster.xml,1,src/app/clusters/mode-base-server/README.md,cluster_implementation_guide,src/app/clusters/mode-base-server/ModeBaseCluster.cpp,framework_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":94},{""path"":""data_model/1.7/clusters/Mode_Thermostat.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/thermostat-mode-cluster.xml"",""selector"":""/configurator/cluster[code=0x0063]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; Shared Mode Base; source/app alias evidence in mode-base-cluster-objects.h.,1,not_applicable,not_applicable,not_applicable
C014,D014,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,HEPA Filter Monitoring,0x0071,server,optional,optionalConform,data_model/1.7/clusters/ResourceMonitoring.xml,2,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/resource-monitoring-cluster.xml,1,src/app/clusters/resource-monitoring-server/README.md,cluster_implementation_guide,src/app/clusters/resource-monitoring-server/ResourceMonitoringCluster.cpp,framework_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":122},{""path"":""data_model/1.7/clusters/ResourceMonitoring.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/resource-monitoring-cluster.xml"",""selector"":""/configurator/cluster[code=0x0071]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,different_declared_values,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,1,not_applicable,not_applicable,not_applicable
C015,D015,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Activated Carbon Filter Monitoring,0x0072,server,optional,optionalConform,data_model/1.7/clusters/ResourceMonitoring.xml,2,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/resource-monitoring-cluster.xml,1,src/app/clusters/resource-monitoring-server/README.md,cluster_implementation_guide,src/app/clusters/resource-monitoring-server/ResourceMonitoringCluster.cpp,framework_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":125},{""path"":""data_model/1.7/clusters/ResourceMonitoring.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/resource-monitoring-cluster.xml"",""selector"":""/configurator/cluster[code=0x0072]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,different_declared_values,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,1,not_applicable,not_applicable,not_applicable
C016,D016,unverified,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Thermostat,0x0201,server,required,mandatoryConform,data_model/1.7/clusters/Thermostat.xml,12,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/thermostat-cluster.xml,12,unverified,unverified,src/app/clusters/thermostat-server/ThermostatClusterBase.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":128},{""path"":""data_model/1.7/clusters/Thermostat.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/thermostat-cluster.xml"",""selector"":""/configurator/cluster[code=0x0201]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/thermostat-server/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.,12,5,not_applicable,not_applicable
C017,D017,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Fan Control,0x0202,server,optional,optionalConform,data_model/1.7/clusters/FanControl.xml,7,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/fan-control-cluster.xml,7,src/app/clusters/fan-control-server/README.md,cluster_implementation_guide,src/app/clusters/fan-control-server/FanControlCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":131},{""path"":""data_model/1.7/clusters/FanControl.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/fan-control-cluster.xml"",""selector"":""/configurator/cluster[code=0x0202]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,7,5,not_applicable,not_applicable
C018,D018,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Thermostat User Interface Configuration,0x0204,server,optional,"optionalConform; attributes(attribute(code=0x0001,name=KeypadLockout,optionalConform))",data_model/1.7/clusters/ThermostatUserInterfaceConfiguration.xml,2,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/thermostat-user-interface-configuration-cluster.xml,2,src/app/clusters/thermostat-user-interface-configuration-server/README.md,cluster_implementation_guide,src/app/clusters/thermostat-user-interface-configuration-server/ThermostatUserInterfaceConfigurationCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":134},{""path"":""data_model/1.7/clusters/ThermostatUserInterfaceConfiguration.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/thermostat-user-interface-configuration-cluster.xml"",""selector"":""/configurator/cluster[code=0x0204]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,2,5,not_applicable,not_applicable
C019,D019,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Temperature Measurement,0x0402,server,optional,optionalConform,data_model/1.7/clusters/TemperatureMeasurement.xml,6,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/temperature-measurement-cluster.xml,6,src/app/clusters/temperature-measurement-server/README.md,cluster_implementation_guide,src/app/clusters/temperature-measurement-server/TemperatureMeasurementCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,unverified,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":142},{""path"":""data_model/1.7/clusters/TemperatureMeasurement.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/temperature-measurement-cluster.xml"",""selector"":""/configurator/cluster[code=0x0402]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,6,5,not_applicable,not_applicable
C020,D020,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Relative Humidity Measurement,0x0405,server,optional,optionalConform,data_model/1.7/clusters/WaterContentMeasurement.xml,5,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/relative-humidity-measurement-cluster.xml,3,src/app/clusters/relative-humidity-measurement-server/README.md,cluster_implementation_guide,src/app/clusters/relative-humidity-measurement-server/RelativeHumidityMeasurementCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,unverified,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":145},{""path"":""data_model/1.7/clusters/WaterContentMeasurement.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/relative-humidity-measurement-cluster.xml"",""selector"":""/configurator/cluster[code=0x0405]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,different_declared_values,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,3,5,not_applicable,not_applicable
